bevolkingsdichtheid_inwoners_per_km2,aantal_inwoners,mannen,vrouwen,percentage_personen_0_tot_15_jaar,percentage_personen_15_tot_25_jaar,percentage_personen_25_tot_45_jaar,percentage_personen_45_tot_65_jaar,percentage_personen_65_jaar_en_ouder,percentage_ongehuwd,percentage_gehuwd,percentage_gescheid,percentage_verweduwd,geboortes_per_1000_inwoners,aantal_huishoudens,gemiddelde_huishoudsgrootte,woningvoorraad,gemiddelde_woningwaarde,personenautos_per_huishouden,motortweewielers_totaal,bouwjaarklasse_tot_2000,stadsdeel,buurtcode,buurtnaam
25271,3535,1750,1785,14,13,36,26,12,63,26,9,3,13,1800,2.0,1722,391,0.4,60,1567,Oost,BU03633201,Zuidoostkwadrant Indische buurt
4789,430,215,220,12,13,26,36,14,59,31,7,3,9,210,2.0,197,553,0.6,15,41,Oost,BU03633202,Zeeburgerdijk Oost
39,20,5,10,0,0,0,0,0,0,0,0,0,0,10,1.6,5,0,0.0,0,0,Oost,BU03633203,Flevopark
6139,1415,745,670,13,7,44,28,7,62,29,8,1,18,730,1.9,751,565,0.6,40,0,Oost,BU03633300,Oostelijke Handelskade
8941,2410,1210,1205,13,10,36,30,11,63,27,8,2,16,1250,1.9,1221,506,0.5,70,231,Oost,BU03633301,Rietlanden
18135,3085,1540,1540,12,9,27,36,15,60,29,8,3,9,1615,1.9,1572,581,0.6,65,1336,Oost,BU03633302,Java-eiland
18385,2390,1240,1145,10,7,26,39,17,58,30,10,3,9,1385,1.7,1324,466,0.6,115,1284,Oost,BU03633303,KNSM-eiland
17531,2805,1375,1430,17,13,25,39,5,64,30,6,1,5,1170,2.4,1112,582,0.7,95,522,Oost,BU03633304,Sporenburg
23150,2780,1385,1395,19,13,27,35,6,67,26,7,1,14,1190,2.3,1107,633,0.6,110,664,Oost,BU03633305,Borneo
13036,1435,715,725,11,11,32,33,13,61,25,11,2,10,785,1.8,758,416,0.5,40,674,Oost,BU03633306,Entrepot-Noordwest
17040,1705,855,850,9,9,30,36,16,62,25,11,2,13,1020,1.7,1004,389,0.5,50,1004,Oost,BU03633307,Architectenbuurt
850,35,10,20,0,0,0,0,0,0,0,0,0,0,25,1.5,18,0,0.0,0,0,Oost,BU03633308,Bedrijvengebied Veelaan
3188,545,305,235,13,12,60,14,2,76,20,4,1,52,310,1.7,298,0,0.6,25,8,Oost,BU03633309,Bedrijvengebied Cruquiusweg
3220,160,85,75,17,9,35,20,19,63,30,4,2,19,95,1.7,12,0,0.8,10,0,Oost,BU03633310,Bedrijvengebied Zeeburgerkade
57,20,10,10,0,0,0,0,0,0,0,0,0,0,5,2.5,5,0,0.0,0,0,Oost,BU03633400,Zeeburgereiland Noordwest
2161,495,205,290,1,80,17,1,1,98,2,0,0,2,450,1.1,453,23,0.1,5,0,Oost,BU03633402,Zeeburgereiland Zuidoost
1524,260,125,135,5,51,35,7,2,95,3,1,0,4,200,1.3,86,0,0.4,20,0,Oost,BU03633403,Zeeburgereiland Zuidwest
63,75,45,30,13,15,16,40,16,60,31,7,3,0,35,2.1,16,0,0.0,5,0,Oost,BU03633404,Nieuwe Diep/Diemerpark
14131,4095,2060,2040,17,14,50,15,5,73,20,6,1,17,2265,1.8,2382,0,0.4,80,0,Oost,BU03633405,RI Oost terrein
154,35,20,15,0,0,0,0,0,0,0,0,0,27,20,1.7,0,0,0.0,0,0,Oost,BU03633406,Zeeburgereiland Noordoost
11400,1595,800,795,22,13,35,26,4,65,25,8,1,19,700,2.3,669,450,0.7,50,0,Oost,BU03633500,Steigereiland Noord
11652,2680,1360,1315,25,17,22,32,4,66,28,6,1,8,940,2.8,932,580,0.8,70,0,Oost,BU03633501,Steigereiland Zuid
10367,2800,1405,1390,22,17,19,37,5,61,32,6,1,6,1000,2.8,965,756,0.9,70,0,Oost,BU03633502,Haveneiland Zuidwest/Rieteiland West
16729,2840,1425,1420,18,12,39,23,8,64,27,8,1,11,1390,2.0,1387,397,0.5,80,0,Oost,BU03633504,Haveneiland Noordwest
18658,5785,2850,2935,23,14,33,26,5,63,29,7,1,15,2360,2.5,2321,463,0.6,135,0,Oost,BU03633505,Haveneiland Noordoost
