bevolkingsdichtheid_inwoners_per_km2,aantal_inwoners,mannen,vrouwen,percentage_personen_0_tot_15_jaar,percentage_personen_15_tot_25_jaar,percentage_personen_25_tot_45_jaar,percentage_personen_45_tot_65_jaar,percentage_personen_65_jaar_en_ouder,percentage_ongehuwd,percentage_gehuwd,percentage_gescheid,percentage_verweduwd,geboortes_per_1000_inwoners,aantal_huishoudens,gemiddelde_huishoudsgrootte,woningvoorraad,gemiddelde_woningwaarde,woningwaarde,personenautos_per_huishouden,motortweewielers_totaal
10000,800,450,350,9,12,40,26,13,65,27,6,2,11,480,1.7,597,837,4996.89,0.6,35
2920,150,85,65,8,15,40,19,18,68,18,8,5,14,90,1.6,100,1122,1122.0,1.0,0
10823,1405,720,685,7,14,33,27,18,61,28,8,3,4,870,1.6,865,939,8122.35,0.5,55
13927,1535,805,725,10,12,33,29,16,64,28,6,3,7,930,1.7,933,853,7958.49,0.6,60
7617,455,265,190,5,11,58,18,9,76,15,7,1,11,320,1.4,303,564,1708.92,0.3,15
9950,400,225,175,5,23,57,12,3,82,16,2,0,3,275,1.4,264,512,1351.68,0.2,10
12840,645,365,275,7,12,38,25,17,67,23,5,5,11,395,1.6,440,832,3660.8,0.5,15
3850,460,265,195,13,6,42,28,10,64,25,10,2,13,260,1.8,268,678,1817.04,0.0,10
14420,725,355,365,7,16,38,23,15,68,24,6,2,10,440,1.6,330,689,2273.7,0.4,30
10956,990,485,500,10,22,35,23,10,72,21,5,1,7,630,1.6,616,0,0.0,0.3,20
21520,1075,555,520,8,10,39,27,15,70,22,7,1,9,685,1.6,685,502,3438.7,0.3,35
26600,1600,775,820,7,9,25,31,28,63,19,14,4,3,1030,1.5,1083,457,4949.31,0.3,55
15425,1235,660,575,7,10,37,29,17,64,25,9,2,7,805,1.5,803,506,4063.18,0.3,35
17014,1190,610,585,8,11,31,26,23,61,25,11,4,9,800,1.5,817,507,4142.19,0.3,25
21400,1500,840,655,6,10,31,31,22,65,22,10,3,5,1035,1.4,1064,543,5777.52,0.3,45
7855,860,450,410,7,12,34,27,20,68,21,9,2,8,595,1.5,574,486,2789.64,0.3,20
11506,1840,940,900,13,7,29,29,21,56,32,9,3,11,995,1.9,979,697,6823.63,0.0,45
16422,1475,750,725,6,11,37,28,17,69,19,9,3,8,970,1.5,1045,530,5538.5,0.3,35
22082,2430,1240,1185,9,10,34,30,18,64,23,9,4,8,1490,1.6,1540,496,7638.4,0.4,60
19347,2900,1410,1490,10,8,31,31,19,63,25,10,2,9,1810,1.6,1719,525,9024.75,0.4,90
17650,355,185,175,8,8,49,26,9,81,11,6,2,8,255,1.4,242,344,832.48,0.2,10
17000,170,90,80,6,6,40,31,17,72,15,11,2,6,125,1.3,130,347,451.1,0.2,5
27210,2725,1345,1375,7,9,40,28,15,70,20,8,2,8,1860,1.5,1883,444,8360.52,0.3,80
26964,2965,1460,1505,9,11,37,26,16,67,22,9,2,10,1885,1.6,1958,548,10729.84,0.3,70
24750,1485,740,745,9,10,37,28,17,67,20,9,3,11,965,1.5,968,404,3910.72,0.3,35
23350,935,535,400,6,13,51,22,8,79,11,9,1,13,730,1.3,722,315,2274.3,0.2,25
10150,200,110,90,7,9,62,16,6,76,18,6,0,5,125,1.6,118,517,610.06,0.3,5
22558,4290,2200,2090,8,10,37,27,18,67,21,9,2,8,2820,1.5,2939,494,14518.66,0.3,135
17440,870,455,415,6,10,37,28,20,70,19,8,3,9,615,1.4,647,605,3914.35,0.3,25
6325,255,120,135,2,21,58,13,6,80,12,5,3,4,170,1.5,166,468,776.88,0.2,5
